seed,lora_weight,style_strength,aesthetic_quality,coordination,artifact_level,notes
3820235668,0.00,1,2,1,1,基础无相似风格干扰
3820235668,0.25,1,2,3,1,质感提升
3820235668,0.50,2,5,5,1,最和谐的比例
3820235668,0.75,3,4,4,1,lora特征开始凸显
3820235668,1.00,5,3,3,3,lora风格完全覆盖溢出
2918477882,0.00,1,2,1,2,基础无相似风格干扰
2918477882,0.25,2,4,4,1,质感大幅提升，风格和谐
2918477882,0.50,2,5,5,1,和谐美观的比例
2918477882,0.75,3,4,5,1,lora风格凸显，但是质感保持不错
2918477882,1.00,5,3,3,3,lora风格溢出有些失谐
2637220376,0.00,1,2,1,2,基础无相似风格干扰
2637220376,0.25,1,3,3,2,质感提升
2637220376,0.50,2,5,5,1,最和谐的比例
2637220376,0.75,3,4,4,1,lora特征开始凸显，质感还行
2637220376,1.00,5,3,3,3,lora风格完全覆盖溢出
